PeakID (cmd=annotatePeaks.pl hek293.abcam.CIMS.m6A.9536.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
B045_1-4_chr12_r_c965[k=5][m=2]_AGACT,chr12,124118192,124118192,-,2,NA,promoter-TSS (NM_001516),promoter-TSS (NM_001516),94,NM_001271868,2967,Hs.355348,XM_005253568,ENSG00000111358,GTF2H3,BTF2|P34|TFB4|TFIIH,"general transcription factor IIH, polypeptide 3, 34kDa",protein-coding
B045_1-4_chr16_f_c1134[k=6][m=2]_GAACG,chr16,89584648,89584648,+,2,NA,"intron (NM_003119, intron 3 of 16)","intron (NM_003119, intron 3 of 16)",9843,NM_199367,6687,Hs.185597,XM_005256321,ENSG00000197912,SPG7,CAR|CMAR|PGN|SPG5C,spastic paraplegia 7 (pure and complicated autosomal recessive),protein-coding
B045_1-4_chr14_r_c750[k=7][m=2]_TGACT,chr14,104023728,104023728,-,2,NA,"3' UTR (NM_004873, exon 2 of 2)","3' UTR (NM_004873, exon 2 of 2)",-4927,NM_001015049,9529,Hs.5443,NM_001015048,ENSG00000166170,BAG5,BAG-5,BCL2-associated athanogene 5,protein-coding
B045_1-4_chr6_f_c603[k=4][m=2]_AGACA,chr6,43753022,43753022,+,2,NA,"3' UTR (NM_001171624, exon 8 of 8)","3' UTR (NM_001171624, exon 8 of 8)",13300,NM_001287044,7422,Hs.73793,XM_005249363,ENSG00000112715,VEGFA,MVCD1|VEGF|VPF,vascular endothelial growth factor A,protein-coding
B045_1-4_chr16_f_c493[k=4][m=2]_GGACT,chr16,28877534,28877534,+,2,NA,"exon (NM_001145795, exon 2 of 9)","exon (NM_001145795, exon 2 of 9)",2220,NM_015503,25970,Hs.15744,XM_005255237,ENSG00000178188,SH2B1,PSM|SH2B,SH2B adaptor protein 1,protein-coding
B045_1-4_chr17_f_c1111[k=7][m=2]_GGACT,chr17,79083260,79083260,+,2,NA,"3' UTR (NM_017450, exon 14 of 14)","3' UTR (NM_017450, exon 14 of 14)",15913,NR_030394,724027,NR_030394,MIR657,MIRN657|hsa-mir-657,microRNA 657,ncRNA,,
B045_1-4_chrM_f_c140[k=88][m=2]_TTACG,chrM,2983,2983,+,2,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr14_r_c736[k=15][m=2]_GGACG,chr14,103986283,103986283,-,2,NA,"exon (NM_001823, exon 8 of 8)","exon (NM_001823, exon 8 of 8)",-2913,NM_001823,1152,Hs.173724,NM_001823,ENSG00000166165,CKB,B-CK|BCK|CKBB|HEL-S-29,"creatine kinase, brain",protein-coding
B045_1-4_chr22_f_c428[k=6][m=2]_TTACA,chr22,41368564,41368564,+,2,NA,"3' UTR (NM_014248, exon 5 of 5)","3' UTR (NM_014248, exon 5 of 5)",21213,NM_014248,9978,Hs.474949,NM_014248,RBX1,BA554C12.1|RNF75|ROC1,"ring-box 1, E3 ubiquitin protein ligase",protein-coding,
B045_1-4_chr17_r_c713[k=8][m=2]_AAACT,chr17,42476172,42476172,-,2,NA,"non-coding (NR_036474, exon 9 of 9)","non-coding (NR_036474, exon 9 of 9)",9299,NM_000419,3674,Hs.411312,NM_000419,ENSG00000005961,ITGA2B,BDPLT16|BDPLT2|CD41|CD41B|GP2B|GPIIb|GT|GTA|HPA3,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",protein-coding
B045_1-4_chr3_r_c1227[k=18][m=2]_GAACT,chr3,170584223,170584223,-,2,NA,"exon (NM_001099645, exon 4 of 4)","exon (NM_001099645, exon 4 of 4)",-3822,NM_001099645,200916,Hs.380933,XM_005247205,ENSG00000163584,RPL22L1,0,ribosomal protein L22-like 1,protein-coding
B045_1-4_chr6_r_c1029[k=8][m=2]_TAACT,chr6,138413312,138413312,-,2,NA,"exon (NM_022121, exon 3 of 3)","exon (NM_022121, exon 3 of 3)",-15348,NM_022121,64065,Hs.201446,NM_022121,ENSG00000112378,PERP,KCP1|KRTCAP1|PIGPC1|RP3-496H19.1|THW|dJ496H19.1,"PERP, TP53 apoptosis effector",protein-coding
B045_1-4_chr2_f_c1102[k=4][m=2]_TAACT,chr2,171823193,171823193,+,2,NA,"3' UTR (NM_001201428, exon 10 of 10)","3' UTR (NM_001201428, exon 10 of 10)",38157,NM_015530,26003,Hs.431317,XM_005246450,ENSG00000115806,GORASP2,GOLPH6|GRASP55|GRS2|p59,"golgi reassembly stacking protein 2, 55kDa",protein-coding
B045_1-4_chr4_r_c131[k=6][m=2]_TGACT,chr4,7062804,7062804,-,2,NA,"exon (NM_025196, exon 4 of 4)","exon (NM_025196, exon 4 of 4)",-6996,NM_025196,80273,Hs.443723,NM_025196,GRPEL1,HMGE,"GrpE-like 1, mitochondrial (E. coli)",protein-coding,
B045_1-4_chr19_r_c1049[k=5][m=2]_GGACA,chr19,45574905,45574905,-,2,NA,TTS (NM_007056),TTS (NM_007056),-4783,NM_145288,162979,Hs.192237,NM_145288,ENSG00000170684,ZNF296,ZFP296|ZNF342,zinc finger protein 296,protein-coding
B045_1-4_chr1_r_c2353[k=4][m=2]_GGACA,chr1,229460965,229460965,-,2,NA,"3' UTR (NM_145257, exon 4 of 4)","3' UTR (NM_145257, exon 4 of 4)",-17723,NM_145257,126731,Hs.585011,XM_005273045,ENSG00000154429,CCSAP,C1orf96|CSAP,"centriole, cilia and spindle-associated protein",protein-coding
B045_1-4_chr11_r_c631[k=4][m=2]_ACACT,chr11,65365526,65365526,-,2,NA,"3' UTR (NM_002419, exon 10 of 10)","3' UTR (NM_002419, exon 10 of 10)",2059,NM_033347,10089,Hs.175218,NM_005714,ENSG00000173338,KCNK7,K2p7.1|TWIK3,"potassium channel, subfamily K, member 7",protein-coding
B045_1-4_chr1_r_c2432[k=7][m=2]_GGACA,chr1,234744972,234744972,-,2,NA,"exon (NM_182972, exon 1 of 2)","exon (NM_182972, exon 1 of 2)",-299,NM_182972,359948,Hs.350268,NM_001077397,ENSG00000168264,IRF2BP2,0,interferon regulatory factor 2 binding protein 2,protein-coding
B045_1-4_chr1_r_c2002[k=4][m=2]_CTACT,chr1,197128530,197128530,-,2,NA,"exon (NM_194314, exon 10 of 10)","exon (NM_194314, exon 10 of 10)",12706,NM_001206846,259266,Hs.121028,NM_001206846,ENSG00000066279,ASPM,ASP|Calmbp1|MCPH5,"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)",protein-coding
B045_1-4_chr16_r_c515[k=10][m=2]_GAACC,chr16,30790887,30790887,-,2,NA,"3' UTR (NM_001080417, exon 3 of 3)","3' UTR (NM_001080417, exon 3 of 3)",-7636,NM_001080417,23361,Hs.301094,XM_005255222,ENSG00000102870,ZNF629,ZNF|ZNF65,zinc finger protein 629,protein-coding
B045_1-4_chr8_f_c448[k=6][m=2]_GGACT,chr8,77778963,77778963,+,2,NA,"3' UTR (NM_024721, exon 11 of 11)","3' UTR (NM_024721, exon 11 of 11)",133561,NM_001079867,5828,Hs.437966,XM_005251276,ENSG00000164751,PEX2,PAF1|PBD5A|PBD5B|PMP3|PMP35|PXMP3|RNF72|ZWS3,peroxisomal biogenesis factor 2,protein-coding
B045_1-4_chrX_r_c648[k=20][m=2]_TTACT,chrX,102941627,102941627,-,2,NA,promoter-TSS (NR_038978),promoter-TSS (NR_038978),-119,NM_001142429,9643,Hs.326387,NM_001142418,ENSG00000123562,MORF4L2,MORFL2|MRGX,mortality factor 4 like 2,protein-coding
B045_1-4_chr6_r_c270[k=6][m=2]_GGACT,chr6,30622971,30622971,-,2,NA,"exon (NM_001164239, exon 18 of 20)","exon (NM_001164239, exon 18 of 20)",-8155,NM_001161376,221545,Hs.591787,NM_001109938,ENSG00000204564,C6orf136,0,chromosome 6 open reading frame 136,protein-coding
B045_1-4_chr14_f_c156[k=8][m=2]_AGACA,chr14,39649877,39649877,+,2,NA,"exon (NM_002687, exon 9 of 9)","exon (NM_002687, exon 9 of 9)",5490,NM_002687,5411,Hs.409965,XM_005267768,ENSG00000100941,PNN,DRS|DRSP|SDK3|memA,"pinin, desmosome associated protein",protein-coding
B045_1-4_chr19_f_c74[k=6][m=2]_GGACG,chr19,1105745,1105745,+,2,NA,"exon (NM_002085, exon 4 of 7)","exon (NM_002085, exon 4 of 7)",1096,NM_001039848,2879,Hs.433951,NM_001039847,ENSG00000167468,GPX4,GPx-4|GSHPx-4|MCSP|PHGPx|snGPx|snPHGPx,glutathione peroxidase 4,protein-coding
B045_1-4_chr10_f_c666[k=6][m=2]_AAACT,chr10,98716075,98716075,+,2,NA,"3' UTR (NM_032440, exon 8 of 8)","3' UTR (NM_032440, exon 8 of 8)",-24966,NM_015652,26148,Hs.427927,NM_015652,ENSG00000155640,C10orf12,0,chromosome 10 open reading frame 12,protein-coding
B045_1-4_chrX_r_c418[k=42][m=2]_GAACT,chrX,73046972,73046972,-,2,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-25616,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chr12_f_c103[k=6][m=2]_AGACA,chr12,7046381,7046381,+,2,NA,"exon (NM_001007026, exon 5 of 10)","exon (NM_001007026, exon 5 of 10)",-6822,NM_138425,113246,Hs.405913,XM_005253669,ENSG00000111678,C12orf57,C10|GRCC10|TEMTYS,chromosome 12 open reading frame 57,protein-coding
B045_1-4_chr2_f_c651[k=4][m=2]_GAACA,chr2,89049570,89049570,+,2,NA,"exon (NM_144563, exon 9 of 9)","exon (NM_144563, exon 9 of 9)",-15849,NR_015424,645784,Hs.105323,NR_015424,ENSG00000230006,ANKRD36BP2,0,ankyrin repeat domain 36B pseudogene 2,pseudo
B045_1-4_chr19_f_c1339[k=12][m=2]_AGACT,chr19,56156956,56156956,+,2,NA,TTS (NM_016535),TTS (NM_016535),1970,NM_016535,51545,Hs.20768,NM_016535,ENSG00000171425,ZNF581,0,zinc finger protein 581,protein-coding
B045_1-4_chr17_f_c828[k=4][m=2]_AAACA,chr17,58740609,58740609,+,2,NA,"exon (NM_003620, exon 6 of 6)","exon (NM_003620, exon 6 of 6)",-14563,NM_017679,54828,Hs.655028,XM_005257472,ENSG00000141376,BCAS3,GAOB1|MAAB,breast carcinoma amplified sequence 3,protein-coding
B045_1-4_chr20_r_c180[k=10][m=2]_AGACT,chr20,25281216,25281216,-,2,NA,"3' UTR (NM_001042472, exon 13 of 13)","3' UTR (NM_001042472, exon 13 of 13)",-52510,NM_002862,5834,Hs.368157,XM_005260782,ENSG00000100994,PYGB,GPBB,"phosphorylase, glycogen; brain",protein-coding
B045_1-4_chr9_f_c442[k=6][m=2]_TGACT,chr9,104172735,104172735,+,2,NA,"non-coding (NR_103480, exon 4 of 4)","non-coding (NR_103480, exon 4 of 4)",11599,NM_001278232,7743,Hs.50123,NM_001278231,ENSG00000136870,ZNF189,0,zinc finger protein 189,protein-coding
B045_1-4_chr11_r_c587[k=8][m=2]_GGACA,chr11,64535155,64535155,-,2,NA,"exon (NM_201997, exon 10 of 13)","exon (NM_201997, exon 10 of 13)",6968,NM_001164716,5837,Hs.154084,NM_001164716,ENSG00000068976,PYGM,0,"phosphorylase, glycogen, muscle",protein-coding
B045_1-4_chr1_f_c1361[k=4][m=2]_GGACT,chr1,147092389,147092389,+,2,NA,"exon (NM_004326, exon 8 of 10)","exon (NM_004326, exon 8 of 10)",50245,NM_016361,51205,Hs.562154,XM_005272963,ACP6,ACPL1|LPAP|PACPL1,"acid phosphatase 6, lysophosphatidic",protein-coding,
B045_1-4_chr17_f_c868[k=10][m=2]_GCACT,chr17,61908728,61908728,+,2,NA,TTS (NM_001098426),TTS (NM_001098426),3684,NM_001199163,5705,Hs.79387,NM_001199163,ENSG00000087191,PSMC5,S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG,"proteasome (prosome, macropain) 26S subunit, ATPase, 5",protein-coding
B045_1-4_chr2_f_c534[k=15][m=2]_TTACT,chr2,73477447,73477447,+,2,NA,"exon (NM_006429, exon 10 of 12)","exon (NM_006429, exon 10 of 12)",16083,NM_006429,10574,Hs.368149,NM_001009570,ENSG00000135624,CCT7,CCTETA|CCTH|NIP7-1|TCP1ETA,"chaperonin containing TCP1, subunit 7 (eta)",protein-coding
B045_1-4_chrM_f_c328[k=16][m=2]_AAACT,chrM,13798,13798,+,2,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr16_r_c767[k=4][m=2]_AAACT,chr16,70695466,70695466,-,2,NA,TTS (NM_001172771),TTS (NM_001172771),-24488,NM_138383,92154,Hs.432387,XM_005256236,ENSG00000132613,MTSS1L,ABBA-1,metastasis suppressor 1-like,protein-coding
B045_1-4_chr13_r_c12[k=9][m=2]_TGACT,chr13,21276890,21276890,-,2,NA,promoter-TSS (NM_138284),promoter-TSS (NM_138284),592,NM_138284,53342,Hs.655142,XM_005266421,ENSG00000172458,IL17D,IL-17D|IL-27|IL27,interleukin 17D,protein-coding
B045_1-4_chr11_f_c766[k=9][m=2]_TGACT,chr11,67353591,67353591,+,2,NA,"exon (NM_000852, exon 6 of 7)","exon (NM_000852, exon 6 of 7)",2525,NM_000852,2950,Hs.523836,XM_005273958,ENSG00000084207,GSTP1,DFN7|FAEES3|GST3|GSTP|HEL-S-22|PI,glutathione S-transferase pi 1,protein-coding
B045_1-4_chr17_f_c810[k=4][m=2]_TAACA,chr17,57760132,57760132,+,2,NA,"exon (NM_004859, exon 23 of 32)","exon (NM_004859, exon 23 of 32)",24724,NM_016077,51651,Hs.12677,XM_005257447,ENSG00000141378,PTRH2,BIT1|PTH2,peptidyl-tRNA hydrolase 2,protein-coding
B045_1-4_chr1_r_c1038[k=4][m=2]_GAACT,chr1,68947835,68947835,-,2,NA,"exon (NM_001114120, exon 8 of 12)","exon (NM_001114120, exon 8 of 12)",-15069,NM_017779,55635,Hs.445098,NM_001114120,ENSG00000024526,DEPDC1,DEP.8|DEPDC1-V2|DEPDC1A|SDP35,DEP domain containing 1,protein-coding
B045_1-4_chr2_f_c1355[k=6][m=2]_AAACT,chr2,207176293,207176293,+,2,NA,"exon (NM_001285549, exon 7 of 7)","exon (NM_001285549, exon 7 of 7)",36541,NM_001285549,57683,Hs.110489,XM_005246711,ENSG00000204186,ZDBF2,0,"zinc finger, DBF-type containing 2",protein-coding
B045_1-4_chr6_r_c417[k=8][m=2]_ACACA,chr6,36823206,36823206,-,2,NA,"3' UTR (NM_016059, exon 4 of 4)","3' UTR (NM_016059, exon 4 of 4)",15986,NM_020939,57699,Hs.657869,XM_005249247,ENSG00000124772,CPNE5,COPN5|CPN5,copine V,protein-coding
B045_1-4_chr6_f_c617[k=6][m=2]_CAACT,chr6,44390430,44390430,+,2,NA,"exon (NM_001253, exon 10 of 16)","exon (NM_001253, exon 10 of 16)",-12948,NR_039785,100616352,NR_039785,MIR4642,0,microRNA 4642,ncRNA,,
B045_1-4_chr3_r_c890[k=6][m=2]_AGACA,chr3,121411310,121411310,-,2,NA,"exon (NM_001256486, exon 14 of 22)","exon (NM_001256486, exon 14 of 22)",31519,NM_005335,3059,Hs.14601,XM_005247411,ENSG00000180353,HCLS1,CTTNL|HS1,hematopoietic cell-specific Lyn substrate 1,protein-coding
B045_1-4_chr17_r_c1357[k=12][m=2]_GGACG,chr17,79826714,79826714,-,2,NA,"3' UTR (NM_001185078, exon 6 of 6)","3' UTR (NM_001185078, exon 6 of 6)",-2076,NM_001185077,396,Hs.159161,XM_005256365,ENSG00000141522,ARHGDIA,GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1,Rho GDP dissociation inhibitor (GDI) alpha,protein-coding
B045_1-4_chr7_f_c1136[k=13][m=2]_GTACT,chr7,150932487,150932487,+,2,NA,"exon (NM_001284295, exon 3 of 5)","exon (NM_001284295, exon 3 of 5)",2912,NM_001284295,54480,Hs.647084,XM_005250014,ENSG00000033100,CHPF2,CSGLCA-T|CSGlcAT|ChSy-3|chPF-2,chondroitin polymerizing factor 2,protein-coding
B045_1-4_chr3_r_c344[k=6][m=2]_GGACA,chr3,48200349,48200349,-,2,NA,"3' UTR (NM_001789, exon 15 of 15)","3' UTR (NM_001789, exon 15 of 15)",-29452,NM_001789,993,Hs.437705,XM_005265629,ENSG00000164045,CDC25A,CDC25A2,cell division cycle 25A,protein-coding
B045_1-4_chr19_f_c1440[k=7][m=2]_GGACA,chr19,59059035,59059035,+,2,NA,"exon (NM_005762, exon 5 of 17)","exon (NM_005762, exon 5 of 17)",-2617,NR_106865,102465976,NR_106865,MIR6807,hsa-mir-6807,microRNA mir-6807,ncRNA,,
B045_1-4_chr6_r_c1142[k=23][m=2]_AGACT,chr6,153296594,153296594,-,2,NA,"exon (NM_012177, exon 2 of 5)","exon (NM_012177, exon 2 of 5)",-7609,NM_012177,26271,Hs.520506,NM_001142522,ENSG00000112029,FBXO5,EMI1|FBX5|Fbxo31,F-box protein 5,protein-coding
B045_1-4_chr11_r_c1103[k=21][m=2]_GAACT,chr11,122932836,122932836,-,2,NA,"5' UTR (NM_153201, exon 1 of 8)","5' UTR (NM_153201, exon 1 of 8)",-207,NM_006597,3312,Hs.180414,XM_005271535,ENSG00000109971,HSPA8,HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP1|NIP71,heat shock 70kDa protein 8,protein-coding
B045_1-4_chr16_f_c58[k=10][m=2]_GGACT,chr16,732482,732482,+,2,NA,"exon (NM_005861, exon 7 of 7)","exon (NM_005861, exon 7 of 7)",1957,NM_001005920,339123,Hs.533771,XM_005255295,ENSG00000161999,JMJD8,C16orf20,jumonji domain containing 8,protein-coding
B045_1-4_chr8_r_c381[k=6][m=2]_AAACA,chr8,71486255,71486255,-,2,NA,"3' UTR (NM_014294, exon 11 of 11)","3' UTR (NM_014294, exon 11 of 11)",-34439,NM_014294,23471,Hs.491988,XM_005251188,ENSG00000067167,TRAM1,PNAS8|TRAM|TRAMP,translocation associated membrane protein 1,protein-coding
B045_1-4_chr16_f_c181[k=7][m=2]_AGACT,chr16,2810444,2810444,+,2,NA,"exon (NM_016333, exon 10 of 15)","exon (NM_016333, exon 10 of 15)",-7843,NR_027275,100128788,Hs.311208,XR_243250,ENSG00000205913,SRRM2-AS1,0,SRRM2 antisense RNA 1,ncRNA
B045_1-4_chr1_f_c1171[k=9][m=2]_GTACT,chr1,101440461,101440461,+,2,NA,"3' UTR (NM_133496, exon 11 of 11)","3' UTR (NM_133496, exon 11 of 11)",50901,NM_015958,51611,Hs.440776,XM_005270938,DPH5,CGI-30|HSPC143|NPD015,diphthamide biosynthesis 5,protein-coding,
B045_1-4_chr17_r_c780[k=4][m=2]_AAACT,chr17,46671025,46671025,-,2,NA,promoter-TSS (NM_002147),promoter-TSS (NM_002147),-78,NM_002147,3215,Hs.654456,NM_002147,ENSG00000120075,HOXB5,HHO.C10|HOX2|HOX2A|HU-1|Hox2.1,homeobox B5,protein-coding
B045_1-4_chr3_f_c1137[k=9][m=2]_GAACT,chr3,152880976,152880976,+,2,NA,"exon (NM_002886, exon 1 of 1)","exon (NM_002886, exon 1 of 1)",975,NM_002886,5912,Hs.700713,NM_002886,RAP2B,0,"RAP2B, member of RAS oncogene family",protein-coding,
B045_1-4_chr22_f_c203[k=6][m=2]_GAACA,chr22,29693877,29693877,+,2,NA,"exon (NM_005243, exon 13 of 17)","exon (NM_005243, exon 13 of 17)",-9108,NM_152236,10634,Hs.322852,NM_001278730,ENSG00000185340,GAS2L1,GAR22,growth arrest-specific 2 like 1,protein-coding
B045_1-4_chr3_r_c510[k=23][m=2]_TAACT,chr3,52291274,52291274,-,2,NA,"3' UTR (NM_025222, exon 9 of 9)","3' UTR (NM_025222, exon 9 of 9)",-11088,NM_001122870,132160,Hs.731914,XM_005264879,ENSG00000164088,PPM1M,PP2C-eta|PP2CE|PP2Ceta,"protein phosphatase, Mg2+/Mn2+ dependent, 1M",protein-coding
B045_1-4_chr7_f_c974[k=4][m=2]_TAACA,chr7,138874771,138874771,+,2,NA,"3' UTR (NM_001287513, exon 18 of 18)","3' UTR (NM_001287513, exon 18 of 18)",-41460,NM_173569,254048,Hs.511486,XM_005250248,ENSG00000157741,UBN2,0,ubinuclein 2,protein-coding
B045_1-4_chr7_r_c672[k=4][m=2]_TGACA,chr7,99016880,99016880,-,2,NA,"3' UTR (NM_001198879, exon 9 of 9)","3' UTR (NM_001198879, exon 9 of 9)",-10279,NM_003910,8896,Hs.380233,XM_005250670,ENSG00000106245,BUD31,Cwc14|EDG-2|EDG2|G10|YCR063W|fSAP17,BUD31 homolog (S. cerevisiae),protein-coding
B045_1-4_chr1_f_c1301[k=6][m=2]_TTACT,chr1,117492055,117492055,+,2,NA,"exon (NM_020440, exon 4 of 9)","exon (NM_020440, exon 4 of 9)",39366,NM_020440,5738,Hs.418093,NM_020440,ENSG00000134247,PTGFRN,CD315|CD9P-1|EWI-F|FPRP|SMAP-6,prostaglandin F2 receptor inhibitor,protein-coding
B045_1-4_chr1_f_c842[k=4][m=2]_GGACC,chr1,53358963,53358963,+,2,NA,"3' UTR (NM_001004339, exon 14 of 14)","3' UTR (NM_001004339, exon 14 of 14)",28483,NM_018281,55268,Hs.476319,XM_005271000,ENSG00000121310,ECHDC2,0,enoyl CoA hydratase domain containing 2,protein-coding
B045_1-4_chrX_r_c157[k=7][m=2]_AAACA,chrX,39934074,39934074,-,2,NA,"exon (NM_017745, exon 4 of 15)","exon (NM_017745, exon 4 of 15)",-22645,NM_017745,54880,Hs.659681,XM_005272616,ENSG00000183337,BCOR,ANOP2|MAA2|MCOPS2,BCL6 corepressor,protein-coding
B045_1-4_chr19_r_c775[k=9][m=2]_GGACC,chr19,19136576,19136576,-,2,NA,"exon (NM_014884, exon 3 of 11)","exon (NM_014884, exon 3 of 11)",-7804,NM_001017392,10147,Hs.515271,XM_005259702,ENSG00000064607,SUGP2,SFRS14,SURP and G patch domain containing 2,protein-coding
B045_1-4_chr15_f_c162[k=19][m=2]_GGACT,chr15,45007789,45007789,+,2,NA,"exon (NM_004048, exon 2 of 4)","exon (NM_004048, exon 2 of 4)",4104,NM_004048,567,Hs.534255,XM_005254549,B2M,0,beta-2-microglobulin,protein-coding,
B045_1-4_chr17_r_c1086[k=8][m=2]_GAACT,chr17,73131550,73131550,-,2,NA,"non-coding (NR_109933, exon 5 of 5)","non-coding (NR_109933, exon 5 of 5)",3660,NM_014595,30833,Hs.67201,NM_001252377,ENSG00000125458,NT5C,DNT|DNT1|HEL74|P5N2|PN-I|PN-II|UMPH2|cdN|dNT-1,"5', 3'-nucleotidase, cytosolic",protein-coding
B045_1-4_chr16_f_c490[k=12][m=2]_AGACG,chr16,28848364,28848364,+,2,NA,"3' UTR (NM_145714, exon 23 of 23)","3' UTR (NM_145714, exon 23 of 23)",6964,NR_039872,100616256,NR_039872,MIR4721,0,microRNA 4721,ncRNA,,
B045_1-4_chr20_f_c160[k=4][m=2]_GAACT,chr20,20014198,20014198,+,2,NA,TTS (NM_181527),TTS (NM_181527),15759,NM_181527,51126,Hs.708298,XM_005260717,ENSG00000173418,NAA20,NAT3|NAT3P|NAT5|NAT5P|dJ1002M8.1,"N(alpha)-acetyltransferase 20, NatB catalytic subunit",protein-coding
B045_1-4_chr1_f_c1160[k=4][m=2]_GGACT,chr1,100329982,100329982,+,2,NA,"exon (NM_000642, exon 5 of 34)","exon (NM_000642, exon 5 of 34)",3216,NM_000645,178,Hs.904,XM_005270557,ENSG00000162688,AGL,GDE,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",protein-coding
B045_1-4_chr10_f_c745[k=6][m=2]_GGACG,chr10,103825963,103825963,+,2,NA,"exon (NM_024747, exon 1 of 1)","exon (NM_024747, exon 1 of 1)",839,NM_024747,79803,Hs.125133,NM_024747,ENSG00000166189,HPS6,RP11-302K17.1,Hermansky-Pudlak syndrome 6,protein-coding
B045_1-4_chr11_r_c52[k=5][m=2]_GGACA,chr11,1298230,1298230,-,2,NA,"3' UTR (NM_019009, exon 6 of 6)","3' UTR (NM_019009, exon 6 of 6)",-20395,NR_106802,102466725,NR_106802,MIR6744,hsa-mir-6744,microRNA mir-6744,ncRNA,,
B045_1-4_chr1_r_c182[k=4][m=2]_GGACG,chr1,6653636,6653636,-,2,NA,"exon (NM_014851, exon 4 of 4)","exon (NM_014851, exon 4 of 4)",-9293,NM_014851,9903,Hs.7764,XM_005263542,ENSG00000162413,KLHL21,0,kelch-like family member 21,protein-coding
B045_1-4_chrX_r_c91[k=4][m=2]_TCACA,chrX,24003283,24003283,-,2,NA,"3' UTR (NM_030624, exon 4 of 4)","3' UTR (NM_030624, exon 4 of 4)",-42020,NM_030624,80311,Hs.495854,XM_005274595,ENSG00000174010,KLHL15,HEL-S-305,kelch-like family member 15,protein-coding
B045_1-4_chr21_r_c240[k=7][m=2]_GGACA,chr21,46189639,46189639,-,2,NA,"3' UTR (NM_182688, exon 7 of 7)","3' UTR (NM_182688, exon 7 of 7)",-32112,NM_003343,7327,Hs.701398,NM_001202489,ENSG00000184787,UBE2G2,UBC7,ubiquitin-conjugating enzyme E2G 2,protein-coding
B045_1-4_chrX_f_c426[k=4][m=2]_TGACT,chrX,84525807,84525807,+,2,NA,"exon (NM_021998, exon 9 of 9)","exon (NM_021998, exon 9 of 9)",26810,NM_021998,7552,Hs.326801,XM_005262186,ENSG00000147180,ZNF711,CMPX1|MRX97|ZNF4|ZNF5|ZNF6|Zfp711|dJ75N13.1,zinc finger protein 711,protein-coding
B045_1-4_chr22_r_c152[k=17][m=2]_GGACT,chr22,24936609,24936609,-,2,NA,"non-coding (NR_104286, exon 4 of 4)","non-coding (NR_104286, exon 4 of 4)",-14666,NM_001284257,83606,Hs.9850,XM_005261755,ENSG00000138867,GUCD1,C22orf13|LLN4,guanylyl cyclase domain containing 1,protein-coding
B045_1-4_chr1_r_c684[k=4][m=2]_AGACA,chr1,39305106,39305106,-,2,NA,"3' UTR (NM_022157, exon 7 of 7)","3' UTR (NM_022157, exon 7 of 7)",-20389,NM_022157,64121,Hs.532461,NM_001271851,ENSG00000116954,RRAGC,GTR2|RAGC|TIB929,Ras-related GTP binding C,protein-coding
B045_1-4_chr13_f_c303[k=13][m=2]_GAACT,chr13,77570108,77570108,+,2,NA,"exon (NM_006493, exon 3 of 4)","exon (NM_006493, exon 3 of 4)",4049,NM_006493,1203,Hs.30213,XM_005266255,CLN5,NCL,"ceroid-lipofuscinosis, neuronal 5",protein-coding,
B045_1-4_chr14_f_c105[k=14][m=2]_GGACA,chr14,31086504,31086504,+,2,NA,"3' UTR (NM_017769, exon 15 of 15)","3' UTR (NM_017769, exon 15 of 15)",-4956,NM_001283033,23256,Hs.369168,XM_005267469,ENSG00000092108,SCFD1,C14orf163|RA410|SLY1|SLY1P|STXBP1L2,sec1 family domain containing 1,protein-coding
B045_1-4_chr3_r_c1076[k=4][m=2]_AGACT,chr3,139077617,139077617,-,2,NA,"non-coding (NR_023350, exon 20 of 22)","non-coding (NR_023350, exon 20 of 22)",-14756,NM_020191,56945,Hs.745001,XM_005247640,ENSG00000175110,MRPS22,C3orf5|COXPD5|GIBT|MRP-S22|RPMS22,mitochondrial ribosomal protein S22,protein-coding
